id,vehicle_type,registration_number,capacity_kg,fuel_type,operating_cost_per_km,is_active
432230a4-aaae-424a-9b55-19ad4c9cad5d,bike,IND-1497,21.0,none,5.89,True
84e0196c-54be-48d6-97c0-ce75e28bb212,scooter,IND-2911,21.0,diesel,4.12,True
c0b70581-cb93-4302-a42c-5efcde010bff,scooter,IND-2927,19.0,electric,5.03,True
1337b065-86a3-47be-a72f-a8bca90e70f8,scooter,IND-7026,22.0,gasoline,3.05,True
d33ee50f-d89a-46d5-be7d-d2a299f98b5d,bike,IND-8648,21.0,none,2.85,True
6e807780-0f1f-4a1f-a685-6538adbf31c8,van,IND-8618,723.0,diesel,4.16,True
ddfc38e2-34fd-413d-9796-60d6353dc9ce,scooter,IND-7586,13.0,diesel,6.9,True
cd15cd43-bd3f-4868-aaec-5f3c11272eeb,scooter,IND-9983,22.0,diesel,6.42,True
32911301-3c60-4392-bb57-ee174ea17493,scooter,IND-8481,17.0,gasoline,4.31,True
40b2a7dc-7723-4ad9-9384-931d57ad9893,bike,IND-4866,24.0,none,2.1,True
5f864914-a3bd-43a5-bb48-68f15129a0f9,scooter,IND-4565,14.0,electric,4.37,True
2ee978d7-ba55-43c1-b7cc-306559b96afb,scooter,IND-8005,13.0,electric,5.16,True
e16b8128-638f-4c4f-ba64-209e73d24e4a,bike,IND-3254,19.0,none,7.38,True
54db1ea6-690f-44ed-91df-e2a3f1936200,scooter,IND-4307,15.0,gasoline,2.35,True
74a3c6dd-6482-438d-aaa7-ca48cccfd259,bike,IND-2144,16.0,none,6.77,True
8297ab0b-a61d-4135-818b-d1cc49f21fe0,bike,IND-1686,16.0,none,3.66,True
8662d538-147d-4aca-921b-f13b4a512b7a,scooter,IND-7520,14.0,gasoline,6.42,True
d897802f-9280-4f58-8855-404df4db596a,scooter,IND-3953,25.0,electric,6.87,True
6f08ba2a-c81f-47f9-a984-4ec40786b250,scooter,IND-2836,16.0,diesel,6.83,True
799202b1-d216-4490-a403-6d95fc1a0d65,bike,IND-4619,11.0,none,3.18,True
815a85e1-06a1-4019-8a0e-b58eb2099879,van,IND-4396,306.0,diesel,5.91,True
5a2cefd3-048b-4962-b53e-af5a85f64229,scooter,IND-5424,18.0,electric,5.42,True
6a4c344f-08d0-43df-933e-9a01113643d7,bike,IND-5682,16.0,none,6.11,True
4f91cf3f-7266-4258-ad12-1a400d8c88bf,scooter,IND-2521,20.0,gasoline,7.34,True
50cd6218-dab2-45e2-9c44-ac4d47f73cb2,bike,IND-2987,25.0,none,7.3,True
2331ef1a-7b41-426c-9eb9-b8ae311a5ee0,bike,IND-8184,18.0,none,5.33,True
27a78dac-cd8f-48db-ad02-4bfffecc33f4,scooter,IND-8528,22.0,diesel,6.01,True
dc778e2b-8931-4b17-8cb6-33c85c01d6fc,bike,IND-9287,22.0,none,3.02,True
e47b87bf-7ede-4c03-a738-cea034d7ab4a,bike,IND-7191,13.0,none,7.94,True
28934f45-1b91-4305-85dc-6532b2c0c98a,scooter,IND-7094,22.0,electric,5.29,True
cc349747-b255-4bc0-9c96-c6630a0705ad,bike,IND-8591,25.0,none,3.95,True
46cdaffa-d8b0-470e-97c1-c1aaebefcc4c,bike,IND-3426,11.0,none,5.33,True
e345210b-22b9-4cc3-a38f-eaa1685f27e9,van,IND-4044,308.0,gasoline,5.23,True
0d933ae2-389a-4a7b-a6cc-7b02e4af12b0,bike,IND-1116,10.0,none,5.94,True
629e2e25-dc62-4158-b2e0-98a3ddbc2929,van,IND-8850,370.0,diesel,4.65,True
60cc1d00-cd74-4f67-893c-f532f402f8df,bike,IND-7220,17.0,none,7.85,True
52d04ae7-19c5-4898-ba50-04a27fd51b00,van,IND-2626,329.0,diesel,4.59,True
1b4033b1-206e-4e04-a8a3-66c62e8a45e4,scooter,IND-6422,16.0,gasoline,4.11,True
ee4fbe25-93e7-4db8-9cdc-960160f7942c,bike,IND-7732,15.0,none,7.6,True
8ba0c740-0a73-44ff-9abe-4a12c79892c3,scooter,IND-8317,10.0,diesel,4.05,True
876707c2-f036-44b8-8aaa-87280e5c5925,scooter,IND-2368,20.0,electric,3.21,True
b539de28-f5e3-47dc-9604-c4351c8ea2e0,bike,IND-9421,21.0,none,4.52,True
34f14837-8b91-43b6-a669-6d01a81c0991,bike,IND-2049,11.0,none,4.09,True
05568eb0-2c68-48f7-832e-fad1642c760e,scooter,IND-6380,13.0,gasoline,5.77,True
11d5daa6-af00-4240-8a26-c7016f560d14,bike,IND-8066,23.0,none,6.26,True
920ce957-25a2-43b2-bbc8-cf5771a80f2f,scooter,IND-8792,13.0,gasoline,7.89,True
7f6bac0e-abe3-4ed4-92d7-cf2249044f17,van,IND-2713,430.0,gasoline,6.66,True
3771c9fa-bfbf-4cc1-aaa3-7b730d8d1b27,scooter,IND-9528,21.0,gasoline,4.81,True
76636abb-c5f7-4847-ab37-887f8c38dbb4,scooter,IND-1153,19.0,gasoline,4.72,True
0afe57a2-0e29-4da6-87bc-20449fc5f342,van,IND-2777,392.0,diesel,6.66,True
4087044c-72f0-4276-890d-f43fbbc8fd1c,van,IND-6673,395.0,electric,2.92,True
de08710b-b563-4d9b-b671-1a7aa276f660,scooter,IND-3142,11.0,electric,5.46,True
de26b6dd-49bf-4f22-a273-135d167382c6,bike,IND-7160,12.0,none,2.87,True
7bc08e42-e498-4666-8f24-289fd6d5ec3f,scooter,IND-1605,13.0,gasoline,5.2,True
05d21d93-e556-4970-a1ee-374a9aa1f062,bike,IND-8959,24.0,none,2.41,True
fdd0d654-5b6c-4ed1-94b4-2846238452fd,bike,IND-2130,11.0,none,5.56,True
7e86ccd3-984a-41c1-a09b-0df8ae21787b,scooter,IND-6916,22.0,electric,4.17,True
6929d94a-755e-4cd2-9bf6-8583c18a79ea,bike,IND-2476,25.0,none,3.62,True
ea3c4c43-9751-4a2a-9aa8-92975145c7c2,bike,IND-6591,16.0,none,6.15,True
976899d6-9cf8-4987-83b5-61563aa3e6c3,scooter,IND-6707,11.0,diesel,4.61,True
7d8694b4-67c5-42e8-b54e-eb4cd2fdd9ad,bike,IND-2648,23.0,none,7.79,True
6824ec7c-2e75-4b50-a996-746b148d7a13,scooter,IND-9725,18.0,gasoline,6.52,True
c26b9198-c1c7-4496-9a72-cdf20d484e80,scooter,IND-4192,17.0,gasoline,7.04,True
24ac2baf-da04-461d-be20-138585413450,bike,IND-5430,14.0,none,5.54,True
cd5bb724-9884-4fc8-b3b9-0c9656597fb1,scooter,IND-6765,21.0,diesel,7.34,True
f81dd769-66a8-4e5f-8ef4-49ab96c4f21f,bike,IND-2089,25.0,none,5.5,True
898d4c53-a462-45be-854d-7736ca0343f7,scooter,IND-5801,12.0,gasoline,2.48,True
524460e5-abd9-45fb-87cb-fa92dc0d1bca,bike,IND-1330,16.0,none,5.19,True
24ff5d51-8cb5-4207-8ef3-7529b1dacf34,scooter,IND-6795,22.0,electric,2.8,True
f6a35b53-0e15-492f-9055-6e9d5362db2d,scooter,IND-1292,13.0,electric,3.88,True
a921aa7c-1c48-4501-886e-12ee01813d51,scooter,IND-1077,18.0,electric,6.12,True
c72503a0-38f5-4d35-8a18-61895b711de3,bike,IND-6104,17.0,none,4.1,True
09d7bf3d-66fc-4119-be4c-4c4a59a5d73e,bike,IND-8013,21.0,none,6.06,True
851dc61a-8282-4e98-900c-6e0e6152a3b3,bike,IND-3797,22.0,none,3.09,True
1ea08f6c-2fb3-40ff-864e-ec03db27e0b6,scooter,IND-6823,20.0,gasoline,7.81,True
8f8a5ad9-c3f5-4fbf-98e9-784cda10addc,scooter,IND-4156,17.0,electric,3.77,True
a81ad6f3-ff88-4c83-a247-48cef5a3eb2a,scooter,IND-3411,10.0,electric,5.59,True
b1614244-4d92-4306-a60c-cea4641323fe,scooter,IND-9389,11.0,gasoline,6.18,True
25fa2120-1b6b-4a18-b383-2071c6c01b7b,scooter,IND-2699,22.0,diesel,6.2,True
75e8b269-5832-4f32-88a3-51cb0ba1cbd6,bike,IND-2949,12.0,none,7.56,True
3b977acf-bf4d-4609-9ec1-5b17667d2649,scooter,IND-1885,23.0,electric,6.97,True
3de488c5-538f-4f8e-b3df-5f5a61861227,van,IND-6553,626.0,gasoline,2.95,True
1acae6d8-0983-4b64-afe6-e470eb93f1f9,bike,IND-6458,10.0,none,4.39,True
8e8f08f5-f2d4-4d00-9403-6582540daf79,van,IND-7143,540.0,diesel,3.7,True
6711e09a-d718-4a8c-9cfc-2cd6e2783e8d,scooter,IND-6257,22.0,electric,6.22,True
da5ba341-c66a-4734-8c4a-f95d73c59e58,bike,IND-7776,25.0,none,4.39,True
f455cda4-197d-4d4b-9c25-9566f9c33362,bike,IND-2399,13.0,none,5.84,True
8cc0f5de-aaae-40d3-b0e3-da8163f70441,bike,IND-7177,15.0,none,3.23,True
f0ffd78d-d036-4905-a1f5-5c61bcecad96,van,IND-7572,629.0,electric,2.44,True
42f66ea1-2669-4be9-bf08-c22901f519ed,bike,IND-6457,20.0,none,4.48,True
bd0f046e-8496-4c97-a54d-cd15ccc2f745,bike,IND-3393,17.0,none,2.29,True
67751cf2-0acb-45c8-b495-bbd118828215,van,IND-6342,345.0,gasoline,2.3,True
ae6855fc-0823-4094-b0fa-2fe837f951de,scooter,IND-7473,24.0,gasoline,3.28,True
7bb07b78-9aca-4d7a-9de8-3ad2e5173510,van,IND-9101,603.0,gasoline,2.05,True
e93f9244-4816-4c8d-8340-d78197ec4b02,scooter,IND-5375,24.0,gasoline,4.48,True
dfccf76a-3683-4004-af06-309612948d2b,van,IND-5019,524.0,gasoline,7.29,True
05dabc77-71c1-4f83-9e03-c1b6426cfe19,bike,IND-7060,15.0,none,2.78,True
8b142e0e-9ff0-4b50-af28-0b5d0ea5ee89,scooter,IND-1021,14.0,gasoline,7.13,True
2be104c8-ebc8-4e1d-998b-cad31194c24d,scooter,IND-1792,19.0,gasoline,3.95,True
444fd223-a79c-4ae0-8601-24a110613e87,bike,IND-8446,19.0,none,3.21,True
e97c7580-f072-4557-9546-55ce471764a1,bike,IND-3241,15.0,none,2.72,True
61328977-3b9f-468a-b7d4-108c3bfbd802,van,IND-2805,768.0,electric,7.92,True
c118dd1b-1b12-401d-9cca-3f0cee5ac4f8,bike,IND-2096,22.0,none,5.24,True
8f2c6a6d-db5c-4bf3-91bb-e2c6b3aa31c7,scooter,IND-3750,10.0,electric,4.43,True
02d6ffa3-0a38-47c2-b18f-3d42b6f17bc1,bike,IND-9143,10.0,none,3.06,True
fff918bd-58c1-48a8-9723-af70e61635a1,scooter,IND-4380,18.0,gasoline,2.97,True
64bf3ade-38ec-47cd-8065-21a1d529a0b9,bike,IND-1982,25.0,none,7.37,True
6ae5f1d4-6b17-4234-ad15-875caa997d36,bike,IND-4392,18.0,none,6.39,True
f7deed3c-d919-4086-8715-e6faa6d331b6,scooter,IND-2278,21.0,electric,3.61,True
d281d290-4410-4f32-8dbf-81f1f5fa3b5a,scooter,IND-9106,11.0,gasoline,3.83,True
ac9b63e4-c977-4ac6-a1a8-d329fe3e6a8b,bike,IND-7845,25.0,none,5.71,True
78b561b7-62a1-4c95-9001-d812a71661b7,van,IND-8697,503.0,electric,4.16,True
1e1db8c7-ff82-4fe1-a4aa-95237299b24d,bike,IND-9966,25.0,none,3.45,True
216d9dd4-0bda-4fbf-a3fe-ec1c5004998d,bike,IND-4804,25.0,none,2.29,True
a7538baf-8d11-4cbe-b9d9-d4bdaaf2e2f4,van,IND-7723,376.0,gasoline,4.7,True
73f2af70-4163-410f-b3de-479ed3a04b1b,bike,IND-8525,20.0,none,4.9,True
a539d59f-fcb0-4191-9f33-4c68c31b2028,bike,IND-7215,22.0,none,2.55,True
3fcf6dbe-6dcc-4ba9-ac43-afa99f61c9ad,van,IND-5625,371.0,electric,2.4,True
d9b85508-1261-409e-851f-69be6adbe133,bike,IND-9131,21.0,none,7.37,True
69f3e09c-1377-4cda-a5ea-a15ef47b32c8,bike,IND-5986,25.0,none,5.68,True
fa27a0f0-5bfc-4a8e-a92d-d436e3fabea4,bike,IND-2793,13.0,none,2.94,True
e4850f41-bd17-4933-a21d-ead70f745243,bike,IND-5386,17.0,none,2.66,True
07c1cde4-d7e1-4d6f-8b9e-542517b0be99,scooter,IND-9039,14.0,diesel,3.15,True
ff1b1e41-ba80-4092-b73a-80833d3ac6bf,van,IND-5362,526.0,diesel,4.54,True
eb6355c6-fa8a-462f-9e7e-547a601b22e4,bike,IND-1838,17.0,none,7.13,True
1280119c-dfeb-4ce1-bb93-efdfe5cb47cf,scooter,IND-8628,17.0,gasoline,4.84,True
506da4b8-8c0f-4c4b-8a57-e9d7c071f8cb,van,IND-3976,518.0,diesel,4.74,True
5bb23f6d-fa8d-4c6d-9967-619f77d8335c,scooter,IND-9975,25.0,electric,7.41,True
a5fc9bbc-e0bf-41bb-9d87-e4644b4e6614,scooter,IND-4813,19.0,electric,6.05,True
9357493e-431d-46b7-b024-1d236eba6ddf,scooter,IND-1354,15.0,electric,7.74,True
7f25756d-b786-46e2-9866-10514cf1eb74,bike,IND-9615,17.0,none,4.08,True
9df75fdb-465a-4d59-90b7-e3053ec4f2e5,scooter,IND-2858,24.0,electric,2.02,True
cd79437a-4035-4b55-a62c-0df32ec7e59b,bike,IND-5620,17.0,none,3.83,True
f70b38c5-3b45-4811-bc7c-24b8accea9e1,bike,IND-8635,12.0,none,5.86,True
63fd4a2d-4a6d-46f8-abac-214368beedbd,bike,IND-5792,17.0,none,2.59,True
edd8bbad-7232-4e9e-b8b4-254d1aa17f27,scooter,IND-5300,19.0,electric,5.75,True
d387f33b-c9a7-47d2-91c7-8015cc577e1f,scooter,IND-2706,16.0,electric,6.68,True
b765ddb7-d19a-4816-a33b-e602f933447b,scooter,IND-7193,22.0,electric,4.95,True
454e5fc5-f1ab-48b5-85dc-3f37c8890a68,van,IND-8778,555.0,electric,4.05,True
c1b3cde9-eb78-4907-aecd-dce996d9aca1,bike,IND-6530,10.0,none,7.87,True
fac9d924-d73a-4764-b903-926d50f2ec0b,scooter,IND-1751,18.0,gasoline,6.89,True
53ddd8be-a9e0-4c2a-84ff-b5f1472663fc,van,IND-1899,681.0,electric,6.42,True
f9ea2a0a-edf6-4067-89bd-413749958701,scooter,IND-4109,24.0,electric,3.26,True
7801c9f6-a755-480e-a578-bdaea30f3ef0,van,IND-5490,569.0,electric,2.2,True
13ff32df-f00f-431f-bcc2-376f9298738d,scooter,IND-5380,20.0,diesel,3.95,True
2d75ab89-588f-4aac-a3e5-2200900957ca,bike,IND-3472,23.0,none,5.1,True
35bfaf3a-bf55-4cea-b235-2f7fcd9d7cd0,scooter,IND-2823,24.0,electric,3.57,True
4581b609-fa22-482f-8127-aff2728ab07e,bike,IND-6927,25.0,none,2.59,True
a4331c8b-28ea-44c5-8351-fed354b9dcf4,scooter,IND-8936,11.0,diesel,4.05,True
14de37b3-7c73-4834-a49f-f20fab3b666f,scooter,IND-1849,14.0,diesel,4.21,True
a90c623e-4973-4a87-ba9b-b28ac448ecb1,van,IND-6786,479.0,diesel,4.93,True
45fd44e9-ebb8-4758-9ee6-085f8915eb43,bike,IND-7210,21.0,none,2.55,True
bc2f4e33-7b2c-490b-b62b-3e1f3b960925,bike,IND-9685,23.0,none,7.77,True
9ecee715-2bb2-4754-89c8-b6e40bcd8956,van,IND-1075,448.0,gasoline,5.19,True
7a938837-1b3d-4246-b3b5-72c173934350,scooter,IND-5794,18.0,gasoline,4.33,True
9a1a9264-5f85-426a-bbab-5c9cc2a04221,van,IND-7718,692.0,electric,7.7,True
a94f121b-34bf-4a69-8399-c7db9a7b71a5,scooter,IND-6085,23.0,diesel,6.54,True
08ba6e40-8478-489f-afba-87720d29e6f2,scooter,IND-1298,21.0,gasoline,4.53,True
2844ad9a-6d7f-40f9-ac87-895a829f3e4b,scooter,IND-6384,25.0,diesel,7.43,True
5baab8a8-d0a1-416f-9fab-ae4f1bdff422,bike,IND-2369,20.0,none,5.19,True
562bbe6a-bd0c-4ad2-b404-f8dd1ea0b4f8,scooter,IND-9967,24.0,diesel,2.08,True
458c6475-2187-4022-8261-80a01deb0622,bike,IND-4331,21.0,none,4.49,True
20720a68-a70a-4917-ab8c-61830e24e66b,van,IND-4064,384.0,electric,7.51,True
2df1b6ca-9c37-4dbc-8b41-08e168dbd466,scooter,IND-7081,15.0,diesel,7.73,True
da173dca-8b3e-4876-8661-58d4b56e4c7b,bike,IND-3170,11.0,none,4.04,True
525f2ef7-c14b-4a3e-b3b6-1492cd29e0c3,bike,IND-8575,21.0,none,4.59,True
853064d5-4823-4153-8157-e7062bd60d16,scooter,IND-2148,10.0,electric,6.87,True
422095a9-14a6-46ca-a5ef-f5c52e6a993c,scooter,IND-6215,11.0,gasoline,4.61,True
f89f74ca-f6da-4635-950e-18a1a55d56d6,scooter,IND-2213,25.0,electric,2.68,True
0384ff27-4dcf-4cdd-8508-e29ddee2f774,scooter,IND-9778,18.0,gasoline,4.11,True
d97b1b65-a39b-453f-8387-b33b349d499a,bike,IND-4785,23.0,none,3.95,True
cda5d8c4-ff29-4bd3-9d3e-223852cb42e8,scooter,IND-6606,18.0,electric,7.05,True
dcdf7fcf-b7f8-4b2f-a19a-fac7adfc873d,scooter,IND-2237,24.0,gasoline,6.97,True
f8ea19fd-421f-4db4-91ce-bcd45f4edc9b,scooter,IND-6925,15.0,electric,5.18,True
6af41dc7-9843-4517-adce-99891e8754c9,bike,IND-2766,12.0,none,5.05,True
e1b90d4a-c17e-49fe-877b-e550e64c5cd1,scooter,IND-5048,25.0,diesel,4.04,True
69a3b0dc-3da6-4b13-8d59-6cf5cd9916a6,scooter,IND-3246,10.0,electric,2.29,True
31aed5e3-5584-4a59-9ff3-6979271ced84,bike,IND-4866,23.0,none,7.8,True
96900112-0566-413b-bfed-98a0b0861681,scooter,IND-9174,14.0,gasoline,4.45,True
d6aa0076-bcff-4fc1-8777-d3b314eb97b5,scooter,IND-4968,15.0,diesel,2.07,True
fcd32711-bb8a-4ab4-a154-ee62fd7db2dc,scooter,IND-9167,15.0,electric,6.9,True
8beba175-4b36-404c-82fb-0a02d0981df5,van,IND-2771,484.0,diesel,2.27,True
83e5322d-0fec-4d88-ad3c-150ef51cd4bb,scooter,IND-3851,11.0,diesel,7.93,True
3fb9717d-f135-4595-b757-1c7e1d7daa1c,bike,IND-8180,11.0,none,2.11,True
db790f70-c3fe-405c-a38e-14430c66dbe8,bike,IND-9833,17.0,none,3.91,True
7bc277ec-6c44-47d5-886e-3a158db9e9eb,van,IND-9036,312.0,electric,4.5,True
0971453a-dbdf-4bec-9bb2-48a63817231b,bike,IND-6561,25.0,none,3.68,True
946340cc-f975-4d83-af1d-bd838a72bcb5,van,IND-2117,496.0,gasoline,3.93,True
585c75a9-8f4f-467a-ae1e-79309525bcae,bike,IND-2595,12.0,none,5.4,True
9edfe61e-751a-47d8-9dbd-8eec9f8f1ace,bike,IND-6431,23.0,none,3.43,True
5cac7bcc-2d91-4179-9ff3-8d41451f3870,van,IND-1466,533.0,electric,2.49,True
ccd5a312-cd45-4c7d-a26b-5eff4438c486,bike,IND-1621,21.0,none,6.69,True
819b354b-1609-47ed-b32c-938853ccdd89,bike,IND-8787,24.0,none,3.57,True
30929eb3-711c-4c9c-a7c4-f53675e9cd47,van,IND-8981,775.0,electric,7.01,True
1b0caf12-dbf2-4486-85f7-959635e9b646,van,IND-1092,607.0,gasoline,7.65,True
431c1be6-d43f-44da-9a5d-698aa0f3a7e0,van,IND-1730,372.0,gasoline,6.25,True
8f2ba678-8c52-4903-90c6-7d95cfc6fa42,van,IND-5091,572.0,gasoline,2.11,True
c3f0b3de-99d4-4e70-8bb6-d02692a63588,scooter,IND-9090,22.0,electric,4.91,True
1bc40b32-2122-46e3-b336-304d347fed7f,scooter,IND-9491,17.0,electric,3.38,True
b6119584-bb1f-4351-b2c1-6701ad439dfa,bike,IND-4435,14.0,none,3.03,True
44b3f28e-fb73-4e5c-a7d5-67c3b6568ee7,scooter,IND-4863,24.0,diesel,7.0,True
5f4d85d8-c641-4b07-96f1-7383f1ed1cd4,bike,IND-9460,11.0,none,3.86,True
5fb480ff-8e48-4afd-8e41-9a65fb4afb6b,bike,IND-3462,10.0,none,4.44,True
af989e8f-b5cb-40ae-87c0-a60746fa8c63,scooter,IND-2779,23.0,gasoline,3.85,True
b2626f17-ff59-489c-86ea-5fb8eba40e7b,scooter,IND-3371,11.0,electric,2.03,True
cd3334c2-a368-4a24-a1bb-56e7ee369bd8,van,IND-7561,520.0,electric,2.93,True
c8c737f0-7acf-4040-9676-c06f2dacaa16,scooter,IND-8852,20.0,gasoline,4.62,True
96a9f664-ce68-49e7-a770-0cede2b43642,bike,IND-7363,13.0,none,3.14,True
37bb0563-5b70-4ce0-b0de-59496ebc9256,bike,IND-8967,15.0,none,7.1,True
9411795e-cc09-47de-b6f2-1de9887d7993,scooter,IND-9124,18.0,diesel,5.6,True
62b1254a-5a34-4b22-90e0-de46c54a5eaf,bike,IND-3527,17.0,none,4.83,True
821fdeb2-3c59-4fe6-9283-04c6fe4d5bda,bike,IND-7983,20.0,none,2.57,True
bf4e9669-e157-4057-8f8c-08000574f995,scooter,IND-1301,22.0,diesel,5.07,True
6246b1f0-25c4-43f8-a12e-36bfe73cae8d,bike,IND-2245,19.0,none,5.14,True
4cd7c00a-aa27-4595-8031-f2dbbdfe8597,bike,IND-5171,20.0,none,2.41,True
5fcc77d1-6a28-47c8-8f44-23059287ef03,bike,IND-5913,20.0,none,3.88,True
ccf7c681-3b17-4fa4-987c-64e2b0b1bac5,bike,IND-1017,23.0,none,6.4,True
dc502f78-f86e-4e24-9906-4e128bdab4c1,scooter,IND-9541,13.0,electric,2.86,True
071791cc-6c07-46f8-9bbe-5d37c6e93316,scooter,IND-9270,22.0,electric,5.6,True
9c27a328-c75a-4f77-b988-c5f653a1416b,scooter,IND-3472,24.0,gasoline,2.22,True
979a161c-cefc-4c36-b986-a716949a5dc0,van,IND-5373,382.0,electric,5.07,True
ff95e615-4c11-45d9-81cd-496277436774,scooter,IND-1764,14.0,gasoline,7.27,True
a2bf2955-7d88-43d1-b6c9-1fb1e6a88597,scooter,IND-4631,17.0,gasoline,2.64,True
a6dab861-838c-40a4-b4d6-03de799473ac,bike,IND-7090,21.0,none,5.31,True
13b3966a-0df4-475b-841e-b33277f9e283,scooter,IND-8490,12.0,gasoline,6.15,True
b7ccbd54-c4b6-4d21-b335-a6038b3cd17c,bike,IND-9068,23.0,none,2.35,True
29d2a10b-9fe0-4ca5-8d8a-bd09c644b472,van,IND-5309,754.0,diesel,4.64,True
2137d3e9-21c3-4c4b-b36c-efb23537b495,bike,IND-8675,14.0,none,5.75,True
7c62cc13-492f-400c-a02d-8808ab807040,scooter,IND-9552,19.0,gasoline,3.83,True
ff41023f-f127-4ffe-8d9c-f162d7bf7b9d,bike,IND-8332,20.0,none,3.4,True
c1d163ff-5913-4171-bf5d-69f0531c6f17,scooter,IND-4548,21.0,gasoline,7.05,True
45a87155-3473-4355-b37d-4dc645196a30,van,IND-8358,321.0,gasoline,7.04,True
e1003612-73dd-467a-9073-2dc1761e8f7a,van,IND-4567,442.0,diesel,7.21,True
73f76997-d323-4279-94d4-a4f8b4e1e32e,bike,IND-3514,22.0,none,5.44,True
b76e8f4a-78cc-40f3-9b2b-ce3aa23a914a,scooter,IND-3506,21.0,diesel,7.97,True
a97449c8-cae3-4d0a-a316-963c7bb149b6,bike,IND-8533,10.0,none,3.08,True
5783e1f8-e9ba-46e8-80c3-b8f484d9bf45,scooter,IND-1095,14.0,electric,4.28,True
fbd7d83a-280a-4d8b-924f-21eb34b61e61,van,IND-6337,455.0,diesel,2.19,True
4bbb358a-dd3f-476b-a05d-fe3e018994aa,bike,IND-7140,24.0,none,6.19,True
8dec4d89-9103-480b-825c-f4a6e8136607,van,IND-4631,519.0,gasoline,7.98,True
b59ed72e-b4ff-4a69-a002-ba7d2f8568f0,bike,IND-5783,14.0,none,5.97,True
182c082a-10d8-4270-be1e-11db1ee6b4fb,scooter,IND-6004,23.0,diesel,2.2,True
0ed3c735-e390-43b4-ba5b-d40749d9cfc9,van,IND-4637,394.0,gasoline,4.89,True
5573f0b2-b07a-47a9-8187-db185993ad7d,bike,IND-1281,13.0,none,5.15,True
247d1d2a-d4e9-4a96-a846-343023499808,van,IND-5940,643.0,diesel,4.09,True
